"job_id","STC","rack_address","port_x_m","port_y_m","port_z_m","kind","arrival_s","dispatch_s","complete_s","wait_s","lead_s","cycle","measurement_window","seed","port_route","fem_case"
"STC1/in-63","1","STC01-A-025-06","0","10","-1.2","in","5261.691942338699","6286.523744024449","6336.733243661712","1024.8318016857502","1075.0413013230127","dc","true","20260909","CASE3","3"
"STC1/out-63","1","STC01-B-021-05","0","10","-1.2","out","5315.167692642926","6286.523744024449","6379.4354934943585","971.3560513815228","1064.2678008514322","dc","true","20260909","CASE3","3"
"STC1/out-62","1","STC01-A-014-06","60","0","-1.2","out","5231.268757126694","6379.4354934943585","6426.811659798288","1148.1667363676643","1195.5429026715938","out","true","20260909","CASE2","2"
"STC1/in-64","1","STC01-B-029-01","30","0","-1.2","in","5349.290276205699","6426.811659798288","6473.1878261022175","1077.5213835925888","1123.8975498965183","in","true","20260909","CASE4","4"
"STC1/in-65","1","STC01-B-005-09","0","0","-1.2","in","5435.553061158529","6488.1878261022175","6539.063992406147","1052.6347649436884","1103.510931247618","dc","true","20260909","CASE5","5"
"STC1/out-65","1","STC01-A-019-01","0","10","-1.2","out","5482.5422736856035","6488.1878261022175","6590.7734920434095","1005.645552416614","1108.231218357806","dc","true","20260909","CASE5","5"
"STC1/out-64","1","STC01-B-030-03","30","0","-1.2","out","5401.366586546814","6603.2734920434095","6659.982991680673","1201.9069054965958","1258.6164051338592","out","true","20260909","CASE4","4"
"STC1/in-66","1","STC01-A-029-07","0","10","-1.2","in","5513.514703139663","6659.982991680673","6716.3591579846025","1146.4682885410102","1202.8444548449397","dc","true","20260909","CASE6","6"
"STC1/out-66","1","STC01-B-016-04","0","0","-1.2","out","5567.221447331832","6659.982991680673","6762.235324288532","1092.7615443488412","1195.0138769567002","dc","true","20260909","CASE6","6"
"STC1/in-67","1","STC01-B-019-08","0","0","-1.2","in","5597.148248953745","6774.735324288532","6820.9448239257945","1177.5870753347872","1223.7965749720497","in","true","20260909","CASE1","1"
"STC1/out-67","1","STC01-A-011-07","0","0","-1.2","out","5655.9947784138585","6839.2781572591275","6885.654323563057","1183.283378845269","1229.6595451491985","out","true","20260909","CASE1","1"
"STC1/in-68","1","STC01-B-010-02","0","0","-1.2","in","5679.624623873138","6885.654323563057","6913.3638232003195","1206.0296996899187","1233.7391993271813","dc","true","20260909","CASE2","2"
"STC1/out-68","1","STC01-B-006-02","60","0","-1.2","out","5738.41980180304","6885.654323563057","6958.7327396996325","1147.2345217600168","1220.3129378965923","dc","true","20260909","CASE2","2"
"STC1/in-69","1","STC01-B-020-07","0","10","-1.2","in","5771.08124409004","6984.7327396996325","7031.608906003562","1213.6514956095925","1260.527661913522","in","true","20260909","CASE3","3"
"STC1/in-70","1","STC01-B-006-08","30","0","-1.2","in","5851.403714194894","7050.608906003562","7099.4850723074915","1199.2051918086681","1248.0813581125976","dc","true","20260909","CASE4","4"
"STC1/out-70","1","STC01-B-026-05","30","0","-1.2","out","5916.743659881344","7050.608906003562","7146.694571944754","1133.8652461222182","1229.9509120634102","dc","true","20260909","CASE4","4"
"STC1/out-69","1","STC01-A-023-08","0","10","-1.2","out","5824.021693300457","7146.694571944754","7200.5707382486835","1322.6728786442973","1376.5490449482268","out","true","20260909","CASE3","3"
"STC1/in-71","1","STC01-B-009-07","0","0","-1.2","in","5932.590864707849","7200.5707382486835","7243.946904552613","1267.979873540835","1311.3560398447644","in","true","20260909","CASE5","5"
"STC1/in-72","1","STC01-A-020-01","0","10","-1.2","in","6026.090852145903","7259.446904552613","7306.3230708565425","1233.3560524067098","1280.2322187106392","dc","true","20260909","CASE6","6"
"STC1/out-72","1","STC01-B-012-01","0","0","-1.2","out","6097.426984107921","7259.446904552613","7346.19795503332","1162.0199204446917","1248.7709709253986","dc","true","20260909","CASE6","6"
"STC1/out-71","1","STC01-B-029-04","0","10","-1.2","out","6004.2714624200025","7358.69795503332","7424.074121337249","1354.4264926133174","1419.8026589172468","out","true","20260909","CASE5","5"
"STC1/in-73","1","STC01-A-013-04","0","0","-1.2","in","6119.949416132377","7424.074121337249","7466.283620974512","1304.124705204872","1346.3342048421346","dc","true","20260909","CASE1","1"
"STC1/out-73","1","STC01-A-002-05","0","0","-1.2","out","6184.4336893861855","7424.074121337249","7505.993120611774","1239.6404319510639","1321.559431225589","dc","true","20260909","CASE1","1"
